NAME,COMP,MASS,R,RUPPER,RLOWER,UR,PER,ECC,DEC,RA,DIST,PLANETDISCMETH,STAR,MSTAR,RSTAR,TEFF,DATE,MULT
,,mjupiter,rjupiter,rjupiter,rjupiter,rjupiter,day,,deg,hr,pc,,,msun,rsun,k,,
Kepler-1398 b,b,0.00197713,0.08,0.00012,0.03588,0.018,2.78815679,0,48.63897222,19.65774444,793,Transit,Kepler-1398,1.13,1.18,6126,2016,1
Kepler-272 c,c,0.0131908,0.159693,0.0856455,0.0856455,0.0856455,6.057342,,47.59383056,19.94183056,,Transit,Kepler-272,,0.929,5297,2014,1
Kepler-157 c,c,0.0168894,0.199839,0.038362,0.038362,0.038362,13.5405,,38.87561111,19.40648056,,Transit,Kepler-157,,1.044,5774,2014,1
Kepler-308 c,c,0.0161415,0.192702,0.0927826,0.0927826,0.0927826,15.38231,,40.43955,19.71901111,,Transit,Kepler-308,,0.941,5895,2014,1
Kepler-157 b,b,0.00769114,0.117763,0.0231956,0.0231956,0.0231956,1.732342,,38.87561111,19.40648056,,Transit,Kepler-157,,1.044,5774,2014,1
Kepler-52 d,d,0.0143757,0.173967,0.0187349,0.0187349,0.0187349,36.445171,,49.97575,19.11586944,,Transit,Kepler-52,,0.556,4263,2014,1
Kepler-197 c,c,0.00604207,0.109733,0.00356856,0.00356856,0.00356856,10.349695,,50.55898056,19.68176111,,Transit,Kepler-197,,1.12,6004,2014,1
Kepler-163 b,b,0.00347154,0.0936747,0.0392542,0.0392542,0.0392542,7.810937,,46.98733056,19.66685,,Transit,Kepler-163,,0.917,5776,2014,1
Kepler-121 c,c,0.0171819,0.202516,0.111518,0.111518,0.111518,41.008011,,39.678,19.07746944,,Transit,Kepler-121,,0.701,5311,2014,1
Kepler-191 b,b,0.00809262,0.119547,0.0588813,0.0588813,0.0588813,9.939632,,45.32316944,19.41223056,,Transit,Kepler-191,,0.789,5282,2014,1
Kepler-123 b,b,0.0258466,0.262289,0.050852,0.050852,0.050852,17.232366,,42.78196111,19.79991111,,Transit,Kepler-123,,1.264,6089,2014,1
Kepler-320 b,b,0.00464108,0.101704,0.0481756,0.0481756,0.0481756,8.371554,,46.17513056,19.54756944,,Transit,Kepler-320,,1.108,6435,2014,1
Kepler-186 f,f,0.00421308,0.098939,0.012479,0.011587,0.012033,129.9459,0.01,43.95501944,19.91018056,151,Transit,Kepler-186,0.478,0.472,3788,2014,1
Kepler-201 b,b,0.0192003,0.219467,0.0428227,0.0428227,0.0428227,25.672083,,41.27281944,19.57506944,,Transit,Kepler-201,,1.229,6065,2014,1
Kepler-54 b,b,0.015593,0.187182,,,,8.0109434,,43.05627778,19.65159583,,Transit,Kepler-54,0.51,0.5,3705,2011,1
Kepler-355 c,c,0.0223552,0.24177,0.108841,0.108841,0.108841,25.762294,,42.81178056,19.0533,,Transit,Kepler-355,,1.066,6184,2014,1
Kepler-375 c,c,0.0215411,0.236417,0.0856455,0.0856455,0.0856455,19.986326,,48.09841111,19.24118889,,Transit,Kepler-375,,0.837,5826,2014,1
Kepler-137 b,b,0.0110268,0.131145,0.00981354,0.00981354,0.00981354,8.436387,,43.0391,18.80903889,,Transit,Kepler-137,,0.802,5187,2014,1
Kepler-85 d,d,0.00554835,0.107057,0.0169507,0.0169507,0.0169507,17.91323,,45.29031944,19.39823056,,Transit,Kepler-85,,0.893,5436,2014,1
Kepler-224 c,c,0.0290307,0.278348,0.0231956,0.0231956,0.0231956,5.925003,,47.3576,19.39561944,,Transit,Kepler-224,,0.676,5018,2014,1
Kepler-392 b,b,0.00291583,0.089214,0.0187349,0.0187349,0.0187349,5.341853,,43.36808056,19.24405,,Transit,Kepler-392,,1.129,5938,2014,1
Kepler-247 c,c,0.0548224,0.364885,0.101704,0.101704,0.101704,9.439452,,43.03928889,19.24283056,,Transit,Kepler-247,,0.768,5100,2014,1
Kepler-271 b,b,0.00192504,0.0794005,0.0142742,0.0142742,0.0142742,5.217738,,44.28423056,18.86686111,,Transit,Kepler-271,,0.88,5524,2014,1
Kepler-30 c,c,2.01385,1.09635,0.0356538,0.0356538,0.0356538,60.3231,0.0111,38.94727778,19.01891,,Transit,Kepler-30,0.99,0.95,5498,2011,1
Kepler-190 c,c,0.0107805,0.130252,0.0089214,0.0089214,0.0089214,3.763024,,44.7338,19.23893889,,Transit,Kepler-190,,0.795,5106,2014,1
Kepler-397 c,c,0.100676,0.551343,0.0499599,0.0499599,0.0499599,135.498527,,42.38045,19.72626944,,Transit,Kepler-397,,0.767,5307,2014,1
Kepler-221 b,b,0.0126401,0.152556,0.0151664,0.0151664,0.0151664,2.795906,,46.83526944,19.77698056,,Transit,Kepler-221,,0.821,5243,2014,1
Kepler-172 e,e,0.0230631,0.246231,0.0499599,0.0499599,0.0499599,35.118736,,41.82186111,18.89123056,,Transit,Kepler-172,,1.085,5526,2014,1
Kepler-178 b,b,0.025195,0.258721,0.111518,0.111518,0.111518,9.576694,,46.89648056,19.14006944,,Transit,Kepler-178,,1.066,5676,2014,1
Kepler-147 c,c,0.0188614,0.21679,0.0437149,0.0437149,0.0437149,33.416423,,39.08718056,19.19838056,,Transit,Kepler-147,,1.468,6012,2014,1
Kepler-378 c,c,0.00082692,0.0624498,0.0044607,0.0044607,0.0044607,28.906009,,46.43863889,19.66323889,,Transit,Kepler-378,,0.671,4661,2014,1
Kepler-158 b,b,0.0157841,0.189134,0.0321171,0.0321171,0.0321171,16.709184,,39.78133056,18.93548056,,Transit,Kepler-158,,0.624,4623,2014,1
Kepler-68 b,b,0.026183,0.205901,0.00534807,0.00802211,0.00668509,5.398763,0,49.04025,19.40215667,135,Transit,Kepler-68,1.079,1.243,5793,2011,1
Kepler-308 b,b,0.0157841,0.189134,0.0909983,0.0909983,0.0909983,9.694928,,40.43955,19.71901111,,Transit,Kepler-308,,0.941,5895,2014,1
Kepler-108 c,c,0.224011,0.729771,0.0454992,0.0454992,0.0454992,190.323494,,46.06233056,19.63728056,,Transit,Kepler-108,,2.192,5854,2014,1
Kepler-266 c,c,0.0481581,0.347043,0.168615,0.168615,0.168615,107.723601,,44.16691111,19.63228889,,Transit,Kepler-266,,1.028,5885,2014,1
Kepler-239 c,c,0.019783,0.223927,0.0374699,0.0374699,0.0374699,56.228098,,40.66341111,19.61348056,,Transit,Kepler-239,,0.763,4914,2014,1
Kepler-524 b,b,0.014034,0.17,0.00032,0.02268,0.0115,7.97419807,0,49.16205556,19.79061389,730,Transit,Kepler-524,1.09,1.1,6014,2016,1
HD 82943 c,c,1.58936,,,,,219.3,0.425,-12.12912222,9.580758333,27.4725,RV,HD 82943,1.133,1.09738,5997.1,2004,1
Kepler-205 c,c,0.0121773,0.146311,0.0107057,0.0107057,0.0107057,20.306546,,41.86116944,19.01913889,,Transit,Kepler-205,,0.546,4321,2014,1
Kepler-319 b,b,0.0121124,0.145419,0.0205192,0.0205192,0.0205192,4.362705,,39.77066111,19.25413056,,Transit,Kepler-319,,0.903,5526,2014,1
Kepler-162 c,c,0.0273861,0.270319,0.145419,0.145419,0.145419,19.446355,,43.72401944,19.81858889,,Transit,Kepler-162,,0.958,5816,2014,1
Kepler-126 c,c,0.0117926,0.140958,0.0115978,0.0115978,0.0115978,21.869741,,44.20851111,19.28981944,,Transit,Kepler-126,,1.358,6239,2014,1
Kepler-384 c,c,0.00450004,0.100812,0.0294406,0.0294406,0.0294406,45.348269,,44.78286944,19.06841111,,Transit,Kepler-384,,0.882,5577,2014,1
HD 37124 d,d,0.68665,,,,,1862,0.16,20.73180833,5.617372222,33.67,RV,HD 37124,0.85,0.772275,5500.24,2005,1
K2-3 c,c,0.0129801,0.157,0.021,0.02,0.0205,24.6454,,-1.454786111,11.48899667,45,Transit,K2-3,0.601,0.561,3896,2015,1
HD 204313 b,b,3.50088,,,,,1920.1,0.23,-21.72559444,21.47005,47.3709,RV,HD 204313,1.045,1.12584,5767,2010,1
Kepler-212 c,c,0.0227766,0.244446,0.0454992,0.0454992,0.0454992,31.805174,,43.14165,19.17471944,,Transit,Kepler-212,,1.455,5852,2014,1
Kepler-53 c,c,0.0299365,0.282556,,,,38.5583038,,40.56244444,19.36411833,,Transit,Kepler-53,0.98,0.89,5858,2011,1
Kepler-321 b,b,0.0130508,0.157909,0.0303328,0.0303328,0.0303328,4.915379,,44.14596944,19.63026111,,Transit,Kepler-321,,1.194,5740,2014,1
Kepler-402 d,d,0.00893492,0.123115,0.0240878,0.0240878,0.0240878,8.921099,,43.35461111,19.22468056,,Transit,Kepler-402,,1.264,6090,2014,1
Kepler-339 d,d,0.00508144,0.10438,0.0472834,0.0472834,0.0472834,10.558345,,48.44463889,19.55678056,,Transit,Kepler-339,,0.802,5631,2014,1
Kepler-188 b,b,0.0124398,0.14988,0.0678027,0.0678027,0.0678027,2.061897,,44.31553056,18.75198056,,Transit,Kepler-188,,1.141,6021,2014,1
