STAR,MSINI,MSTAR,HIPP,V,VURL,VREF,TEFF,LOGG,DIST,BMV,J,H,VSINI,RHK,MASSREF,MASSURL,KS,SPECREF,SPECURL,BINARYREF,BINARYURL,NAME,OTHERNAME,COMP,HD,HR,SAO,GL,BINARY,BINARYURL,BINARYREF,RA,DEC,RA_STRING,DEC_STRING,KEPID,KOI,KDE,EOD,MICROLENSING,IMAGING,TIMING,ASTROMETRY,PAR,GAMMA,PER,ECC,OM,K,T0,DVDT,I,A,MASS,SEP,TREND,LAMBDA,BIGOM,DEPTH,T14,TT,R,AR,B,DENSITY,GRAVITY,TRANSIT,TRANSITURL,TRANSITREF,DR,RR,SE,SEURL,SEREF,SEDEPTHJ,SEDEPTHH,SEDEPTHKS,SEDEPTHKP,SEDEPTH36,SEDEPTH45,SEDEPTH58,SEDEPTH80,RMS,CHI2,NOBS,NCOMP,MULT,PLANETDISCMETH,STARDISCMETH,DATE,FIRSTREF,FIRSTURL,ORBREF,ORBURL,RSTAR,RHOSTAR,FE,SHK,KP,JSNAME,EPEURL,ETDNAME,ETDURL,SIMBADNAME,SIMBADURL,EANAME,EAURL
,mjupiter,msun,,,,,k,,pc,,,,km/s,,,,,,,,,,,,,,,,,,,hr,deg,,,,,,,,,,,marcsec,km/s,day,,deg,m/s,jd,m/s/day,deg,au,mjupiter,au,,deg,deg,,day,,rjupiter,,,g/cm^3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rsun,g/cm^3,,,,,,,,,,,
CoRoT-29,0.852133,0.97,,15.56,http://adsabs.harvard.edu/abs/2015A%26A...579A..36C,Cabrera 2015,5260,4.3,765,1.144,13.565,13.12,3.5,,Cabrera 2015,http://adsabs.harvard.edu/abs/2015A%26A...579A..36C,13.048,Cabrera 2015,http://adsabs.harvard.edu/abs/2015A%26A...579A..36C,Cabrera 2015,http://adsabs.harvard.edu/abs/2015A%26A...579A..36C,CoRoT-29 b,2MASS 18353650+0628467,b,,,,,0,http://adsabs.harvard.edu/abs/2015A%26A...579A..36C,Cabrera 2015,18.59347222222222,6.479719444910685,18:35:36.50,6:28:46.99,,,0,1,0,0,0,0,1.30719,64.1907,2.85057,0.082,87,125,,,87.3,0.0389589,0.85,0.0389589,0,,,0.0106,0.087,2455753.115,0.9,9.32923,0.43,1.45,3.41705,1,http://adsabs.harvard.edu/abs/2015A%26A...579A..36C,Cabrera 2015,,0.1028,0,,Predicted,,,,,,,,,11,,,1,0,Transit,Transit,2015,Cabrera 2015,http://adsabs.harvard.edu/abs/2015A%26A...579A..36C,Cabrera 2015,http://adsabs.harvard.edu/abs/2015A%26A...579A..36C,0.9,1.825,0.2,,,CoRoT-29 b,http://exoplanet.eu/star.php?st=CoRoT-29+b,,,CoRoT-29,http://simbad.harvard.edu/simbad/sim-id?Ident=CoRoT-29,CoRoT-29 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=CoRoT-29+b&type=PLANET+HOST
Kepler-868,,0.93,,,,,5614,4.51,1269,,14.531,14.128,,,estimated from radius; see EOD documentation,,14.09,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Kepler-868 b,,b,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,18.82423333326976,46.67524999989404,18:49:27.24,+46:40:30.9,,1505.01,1,1,0,0,0,0,0.788022,,5.03251791,0,90,,,,,0.0560993,0.0151938,0.0560993,0,,,0.000423536,0.137775,2454970.333,0.183,13.5847,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.02058,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.89,,-0.08,,15.695,,,,,,,Kepler-868 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-868+b&type=PLANET+HOST
Kepler-14,8.40643,1.512,,12,,,6395,3.994,979.998,0.24,11.202,11.068,7.9,,Calculated from MSINI and I,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,10.988,Buchhave 2011,http://adsabs.harvard.edu/abs/2011ApJS..197....3B,Furlan 2017,http://adsabs.harvard.edu/abs/2017AJ....153...71F,Kepler-14 b,KOI-98,b,,,,,1,http://adsabs.harvard.edu/abs/2017AJ....153...71F,Furlan 2017,19.18058611128065,47.33299999978808,19:10:50.110,+47:19:58.8,,98.01,1,1,0,0,0,0,1.02041,,6.790123,0.0350051,89.0179,682.9,2454971.07,,90,0.0806879,8.40643,0.0806879,0,,,0.00323761,0.2591,2454971.08737,1.136,8.49103,0,7.1,4.21158,1,http://adsabs.harvard.edu/abs/2011ApJS..197....3B,Bucchave 2011,,,0,,,,,,,,,,,,,14,1,0,Transit,Transit,2011,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,Bucchave 2011,http://adsabs.harvard.edu/abs/2011ApJS..197....3B,2.048,,0.12,,12.128,Kepler-14,http://exoplanet.eu/star.php?st=Kepler-14,Kepler-14 b,http://var2.astro.cz/ETD/etd.php?STARNAME=Kepler-14&PLANET=b,Kepler-14,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-14,Kepler-14 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-14+b&type=PLANET+HOST
Kepler-1308,,0.35,,,,,3468,4.92,73,,11.878,11.24,,,estimated from radius; see EOD documentation,,11.023,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Kepler-1308 b,,b,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,19.06192777739631,38.52097222222222,19:03:42.94,+38:31:15.5,,2662.01,1,1,0,0,0,0,13.6986,,2.10433812,0,90,,,,,0.0226485,0.000287933,0.0226485,0,,,0.000192654,0.04595,2454966.315,0.046,14.3563,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.01388,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.34,,-0.13,,14.488,,,,,,,Kepler-1308 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-1308+b&type=PLANET+HOST
Kepler-1302,,0.86,,,,,5236,4.55,727,,13.657,13.267,,,estimated from radius; see EOD documentation,,13.151,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Kepler-1302 b,,b,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,19.39928333282471,50.30805555555555,19:23:57.42,+50:18:29.0,,2647.01,1,1,0,0,0,0,1.37552,,8.83922659,0,90,,,,,0.0795638,0.0101747,0.0795638,0,,,0.000241181,0.07512,2454968.547,0.128,20.9114,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.01553,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.82,,0.04,,15.102,,,,,,,Kepler-1302 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-1302+b&type=PLANET+HOST
CoRoT-13,1.3102,1.09,,15.039,http://adsabs.harvard.edu/abs/2010A&A...522A.110C,Cabrera 2010,5945,4.3,1310.62,0.738,13.71,13.406,4,,Calculated from MSINI and I,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,13.38,Cabreara 2010,http://adsabs.harvard.edu/abs/2010A&A...522A.110C,,,CoRoT-13 b,2MASS J06505307-0505112,b,,,,,0,,,6.848074999915228,-5.08641666677263,06:50:53.070,-05:05:11.1,,,0,1,0,0,0,0,0.763,,4.03519,0,90,157.8,2444790.8091,,88.02,0.051069,1.31099,0.051069,0,,,0.00826281,0.130833,2454790.8091,0.885,10.8973,0.374,2.34,3.61168,1,http://adsabs.harvard.edu/abs/2010A&A...522A.110C,Cabrera 2010,,,0,,,,,,,,,,,,,15,1,0,Transit,Transit,2010,Cabrera 2010,http://adsabs.harvard.edu/abs/2010A&A...522A.110C,Cabrera 2010,http://adsabs.harvard.edu/abs/2010A&A...522A.110C,1.01,1.04857,0.01,,,CoRoT-13,http://exoplanet.eu/star.php?st=CoRoT-13,CoRoT-13 b,http://var2.astro.cz/ETD/etd.php?STARNAME=CoRoT-13&PLANET=b,CoRoT-Exo-13b,http://simbad.harvard.edu/simbad/sim-id?Ident=CoRoT-Exo-13b,CoRoT-13 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=CoRoT-13+b&type=PLANET+HOST
HD 98219,2.12353,1.62,55174,8.21,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,5046,3.59,134,0.96,6.42,5.913,0.3,,Set to MSINI; I unknown,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,5.813,Mortier 2013,http://adsabs.harvard.edu/abs/2013arXiv1307.7870M,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,HD 98219 b,2MASS J11174756-2358315,b,98219,,179747,,0,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,11.29656666649712,-23.97537500010596,11:17:47.64,-23:58:31.35,,,0,1,0,0,0,0,7.46269,-10.4577,436.9,0,47,41.2,2455140,,,1.32398,2.12353,1.32398,0,,,,,,,96.6091,,,,0,,,,,0,,,,,,,,,,,3.6,,17,1,0,RV,RV,2011,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,2.95355,,0.05,0.136,,HD 98219,http://exoplanet.eu/star.php?st=HD+98219,,,HD 98219,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+98219,HD 98219 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=HD+98219+b&type=PLANET+HOST
HD 12648,2.89937,1.2,10800,6.98,,,4835.8,2.18,158.983,0.904,5.302,4.82,4.8,,Set to MSINI; I unknown,,4.743,Lee 2015,http://adsabs.harvard.edu/abs/2015A%26A...584A..79L,Lee 2015,http://adsabs.harvard.edu/abs/2015A%26A...584A..79L,HD 12648 b,HIP 10800,b,12648,,356,,0,http://adsabs.harvard.edu/abs/2015A%26A...584A..79L,Lee 2015,2.316597222222222,85.73594722217983,02:18:59.75,+85:44:09.41,,,0,1,0,0,0,0,6.29,,133.6,0.04,99.3,102,2452324.7,,,0.543924,2.89937,0.543924,0,,,,,,,12.7418,,,,0,http://adsabs.harvard.edu/abs/2015A%26A...584A..79L,Lee 2015,,,0,,Predicted,,,,,,,,,29.8,,28,1,0,RV,RV,2015,Lee 2015,http://adsabs.harvard.edu/abs/2015A%26A...584A..79L,Lee 2015,http://adsabs.harvard.edu/abs/2015A%26A...584A..79L,9.2,,-0.57,,,HD 12648,http://exoplanet.eu/star.php?st=HD+12648,,,HD 12648,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+12648,HD 12648 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=HD+12648+b&type=PLANET+HOST
HD 11964,0.608106,1.08,9094,6.42,,,5372,3.99,32.8515,0.817,5.022,4.636,2.74095,-5.16007,Set to MSINI; I unknown,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,4.49,Mortier 2013,http://adsabs.harvard.edu/abs/2013arXiv1307.7870M,Raghavan 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..523R,HD 11964 b,,b,11964,,148123,81.1,1,http://adsabs.harvard.edu/abs/2006ApJ...646..523R,Raghavan 2006,1.952727777693007,-10.24183611128065,01:57:09.82,-10:14:30.61,,,0,1,0,0,0,0,30.44,,1944.5898,0.041,154.961,9.41101,2454170.722,,,3.1288,0.608106,3.1288,0,,,,,,,383.075,,,0,0,,,,,0,,,,,,,,,,,3.06749,1.27182,119,2,1,RV,RV,2006,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,1.76025,,0.14,0.138009,,HD 11964,http://exoplanet.eu/star.php?st=HD+11964,,,HD 11964,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+11964,HD 11964 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=HD+11964+b&type=PLANET+HOST
HAT-P-34,3.32973,1.392,,10.162,http://adsabs.harvard.edu/abs/2012AJ....144...19B,Bakos 2012,6442,4.21,257.003,0.410001,9.46,9.322,24,,Calculated from MSINI and I,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,9.247,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,HAT-P-34 b,2MASS J20124688+1806175,b,351766,,,,0,http://adsabs.harvard.edu/abs/2012AJ....144...19B,Bakos 2012,20.21302361064487,18.10483333322737,20:12:46.885,+18:06:17.4,,,0,1,0,0,0,0,3.891,,5.452654,0.441,20,343.1,2455431.59629,0.8683,87.1,0.0677467,3.334,0.0677467,1,0,,0.00642,0.1455,2455431.59629,1.197,12.1977,0.336,2.4,3.97909,1,http://adsabs.harvard.edu/abs/2012AJ....144...19B,Bakos 2012,,,0,,,,,,,,,,,,,14,1,0,Transit,Transit,2012,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,1.197,,0.22,,,HAT-P-34,http://exoplanet.eu/star.php?st=HAT-P-34,HAT-P-34 b,http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-34&PLANET=b,HAT-P-34,http://simbad.harvard.edu/simbad/sim-id?Ident=HAT-P-34,HAT-P-34 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=HAT-P-34+b&type=PLANET+HOST
Kepler-654,,1.04,,,,,5865,4.36,661,,12.516,12.202,,,estimated from radius; see EOD documentation,,12.158,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Furlan 2017,http://adsabs.harvard.edu/abs/2017AJ....153...71F,Kepler-654 b,,b,,,,,1,http://adsabs.harvard.edu/abs/2017AJ....153...71F,Furlan 2017,19.8045611111323,46.83427777780427,19:48:16.42,+46:50:03.4,,721.01,1,1,0,0,0,0,1.51286,,13.72465129,0,90,,,,,0.113663,0.015383,0.113663,0,,,0.000283249,0.288733,2455013.646,0.185,22.0687,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.01683,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,1.11,,0.04,,13.645,,,,,,,Kepler-654 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-654+b&type=PLANET+HOST
Kepler-421,,0.794,,,,,5308,4.61,320,,12,11.61,0,,estimated from radius; see EOD documentation,,11.53,Kipping 2014,http://adsabs.harvard.edu/abs/2014ApJ...795...25K,Furlan 2017,http://adsabs.harvard.edu/abs/2017AJ....153...71F,Kepler-421 b,KIC 8800954,b,,,,,1,http://adsabs.harvard.edu/abs/2017AJ....153...71F,Furlan 2017,18.88378805554575,45.08750000000001,18:53:01.637,+45:05:15.,,1274.01,1,1,0,0,0,0,3.125,,704.1984,0.041,160,,,,89.965,1.43442,0.0592807,1.43442,0,,,0.00251,0.6579,2455325.7674,0.379,408.378,0.21,,,1,http://adsabs.harvard.edu/abs/2014ApJ...795...25K,Kipping 2014,,0.05008,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2010,Borucki 2010,http://adsabs.harvard.edu/abs/2010Sci...327..977B,Kipping 2014,http://adsabs.harvard.edu/abs/2014ApJ...795...25K,0.757,1.58,-0.25,,,Kepler-421 b,http://exoplanet.eu/star.php?st=Kepler-421+b,,,KOI-1274,http://simbad.harvard.edu/simbad/sim-id?Ident=KOI-1274,Kepler-421 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-421+b&type=PLANET+HOST
Kepler-1241,,0.84,,,,,5261,4.56,936,,14.298,13.823,,,estimated from radius; see EOD documentation,,13.764,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Kepler-1241 b,,b,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,19.63841666645474,38.45697222232819,19:38:18.30,+38:27:25.1,,2444.01,1,1,0,0,0,0,1.06838,,18.5525701,0,90,,,,,0.12941,0.0213319,0.12941,0,,,0.00089401,0.17504,2454968.51,0.235,34.8627,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.0299,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.8,,-0.09,,15.714,,,,,,,Kepler-1241 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-1241+b&type=PLANET+HOST
MOA-2010-BLG-477L,,0.67,,,,,,,2300,,,,,,Bachelet 2012,http://adsabs.harvard.edu/abs/2012ApJ...754...73B,,Bachelet 2012,http://adsabs.harvard.edu/abs/2012ApJ...754...73B,Bachelet 2012,http://adsabs.harvard.edu/abs/2012ApJ...754...73B,MOA-2010-BLG-477L b,,b,,,,,0,http://adsabs.harvard.edu/abs/2012ApJ...754...73B,Bachelet 2012,18.10206944439146,-31.45458333333333,18:06:07.450,-31:27:16.5,,,0,0,1,0,0,0,0.434783,,,,,,,,,,1.5,2,0,,,,,,,,,,,0,,,,,0,,Predicted,,,,,,,,,,,,1,0,Microlensing,Microlensing,2012,Bachelet 2012,http://adsabs.harvard.edu/abs/2012ApJ...754...73B,Bachelet 2012,http://adsabs.harvard.edu/abs/2012ApJ...754...73B,,,,,,,,,,MOA-2010-BLG-477L,http://simbad.harvard.edu/simbad/sim-id?Ident=MOA-2010-BLG-477L,,
Kepler-31,,1.21,,,,,6340,4.696,,,14.233,13.98,,,Fabrycky 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..114F,13.87,Fabrycky 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..114F,Fabrycky 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..114F,Kepler-31 b,KOI-935,b,,,,,0,http://adsabs.harvard.edu/abs/2012ApJ...750..114F,Fabrycky 2012,19.60153416660097,45.85305555555556,19:36:05.523,+45:51:11.0,,935.01,1,1,0,0,1,0,,,20.8613,0,90,,2454992.141,,,0.158038,0.0606674,0.158038,0,,,0.00168921,0.208,2454992.141,0.383278,27.918,,,,1,http://adsabs.harvard.edu/abs/2012ApJ...750..114F,Fabrycky 2012,,,0,,,,,,,,,,,,,,3,1,Transit,Transit,2011,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,Fabrycky 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..114F,1.22,,-0.076,,15.237,Kepler-31,http://exoplanet.eu/star.php?st=Kepler-31,,,Kepler-31,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-31,Kepler-31 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-31+b&type=PLANET+HOST
Kepler-1198,,0.93,,,,,5517,4.5,777,,13.483,13.149,,,estimated from radius; see EOD documentation,,13.012,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Kepler-1198 b,,b,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,19.25559999995761,44.83825000021193,19:15:20.16,+44:50:17.7,,2340.01,1,1,0,0,0,0,1.287,,7.6847716,0,90,,,,,0.0743912,0.0109866,0.0743912,0,,,0.000238394,0.10829,2454970.64,0.131,17.814,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.01544,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.9,,0.03,,14.776,,,,,,,Kepler-1198 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-1198+b&type=PLANET+HOST
Kepler-1139,,0.94,,,,,5550,4.5,555,,12.748,12.35,,,estimated from radius; see EOD documentation,,12.339,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Kepler-1139 b,,b,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,19.19637500021193,39.23055555555555,19:11:46.95,+39:13:50.0,,2202.01,1,1,0,0,0,0,1.8018,,0.81316672,0,90,,,,,0.016702,0.0053608,0.016702,0,,,0.000144962,0.059483,2454964.825,0.106,3.95557,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.01204,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.91,,0.05,,14.113,,,,,,,Kepler-1139 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-1139+b&type=PLANET+HOST
Kepler-1206,,0.8,,,,,4877,4.6,807,,14.29,13.762,,,estimated from radius; see EOD documentation,,13.742,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Kepler-1206 b,,b,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,19.72922777811686,49.79113888899485,19:43:45.22,+49:47:28.1,,2355.01,1,1,0,0,0,0,1.23916,,1.21699766,0,90,,,,,0.0207092,0.0121546,0.0207092,0,,,0.000393229,0.054588,2454965.033,0.146,5.95092,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.01983,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.75,,0.07,,15.975,,,,,,,Kepler-1206 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-1206+b&type=PLANET+HOST
mu Leo,2.4,1.5,48455,3.88,,,4538.2,2.4,38.05,1.22,1.93,1.327,2.4,,Set to MSINI; I unknown,,1.22,Lee 2014,http://adsabs.harvard.edu/abs/2014A%26A...566A..67L,Lee 2014,http://adsabs.harvard.edu/abs/2014A%26A...566A..67L,mu Leo b,,b,85503,3905,81064,,0,http://adsabs.harvard.edu/abs/2014A%26A...566A..67L,Lee 2014,9.879433333079021,26.00708611117469,09:52:45.96,+26:00:25.51,,,0,1,0,0,0,0,26.2812,13.6,357.8,0.09,227.1,52,2452921,,,1.12966,2.4,1.12966,0,,,,,,,21.3563,,,,0,http://adsabs.harvard.edu/abs/2014A%26A...566A..67L,Lee 2014,,,0,,Predicted,,,,,,,,,,,,1,0,RV,RV,2014,Lee 2014,http://adsabs.harvard.edu/abs/2014A%26A...566A..67L,Lee 2014,http://adsabs.harvard.edu/abs/2014A%26A...566A..67L,11.4,,0.36,,,mu Leo b,http://exoplanet.eu/star.php?st=mu+Leo+b,,,* mu. Leo,http://simbad.harvard.edu/simbad/sim-id?Ident=*+mu.+Leo,mu Leo b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=mu+Leo+b&type=PLANET+HOST
Kepler-431,,1.071,,12.14,,,6004,4.4,,0.71,10.94,10.67,,,estimated from radius; see EOD documentation,,10.64,Everett 2015,http://adsabs.harvard.edu/abs/2015AJ....149...55E,Everett 2015,http://adsabs.harvard.edu/abs/2015AJ....149...55E,Kepler-431 b,,b,,,,,0,http://adsabs.harvard.edu/abs/2015AJ....149...55E,Everett 2015,18.74080555544959,43.22777777777778,18:44:26.900,+43:13:40.,,3097.02,1,1,0,0,0,0,,,6.803,,,,,,,0.0718902,0.00120877,0.0718902,0,,,0.00004096,,,0.0696,,,,,1,http://adsabs.harvard.edu/abs/2015AJ....149...55E,Everett 2015,,0.0064,0,,Predicted,,,,,,,,,,,,3,1,Transit,Transit,2010,Borucki 2010,http://adsabs.harvard.edu/abs/2010Sci...327..977B,Everett 2015,http://adsabs.harvard.edu/abs/2015AJ....149...55E,1.092,,0.07,,12,,,,,KOI-3097,http://simbad.harvard.edu/simbad/sim-id?Ident=KOI-3097,Kepler-431 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-431+b&type=PLANET+HOST
Kepler-1531,,1.16,,,,,6260,4.29,670,,12.142,11.875,,,estimated from radius; see EOD documentation,,11.772,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Furlan 2017,http://adsabs.harvard.edu/abs/2017AJ....153...71F,Kepler-1531 b,,b,,,,,1,http://adsabs.harvard.edu/abs/2017AJ....153...71F,Furlan 2017,19.00977222230699,39.37080555544959,19:00:35.18,+39:22:14.9,,3928.01,1,1,0,0,0,0,1.49254,,1.13854338,0,90,,,,,0.0224212,0.00422224,0.0224212,0,,,0.0000583696,0.087175,2454965.466,0.099,3.80485,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.00764,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,1.27,,-0.03,,13.194,,,,,,,Kepler-1531 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-1531+b&type=PLANET+HOST
